Interaction_Description,Simplified_Description
The therapeutic efficacy of Iodide I-131 can be decreased when used in combination with Levothyroxine.,Iodide I-131's effectiveness in treating thyroid problems is reduced when taken with Levothyroxine.
The therapeutic efficacy of Iodide I-131 can be decreased when used in combination with Propylthiouracil.,Iodide I-131's effectiveness in treating thyroid problems is reduced when taken with Propylthiouracil.
The therapeutic efficacy of Iodide I-131 can be decreased when used in combination with Potassium Iodide.,Iodide I-131's effectiveness in treating thyroid problems is reduced when taken with Potassium Iodide.
The therapeutic efficacy of Cysteamine can be decreased when used in combination with Asenapine.,Cysteamine's effectiveness in treating certain genetic disorders is reduced when taken with Asenapine.
The therapeutic efficacy of Cysteamine can be decreased when used in combination with Bismuth subcitrate potassium.,Cysteamine's effectiveness in treating certain genetic disorders is reduced when taken with Bismuth subcitrate potassium.
The therapeutic efficacy of Cysteamine can be decreased when used in combination with Tromethamine.,Cysteamine's effectiveness in treating certain genetic disorders is reduced when taken with Tromethamine.
The therapeutic efficacy of Cysteamine can be decreased when used in combination with Aluminium.,Cysteamine's effectiveness in treating certain genetic disorders is reduced when taken with Aluminium.
The therapeutic efficacy of Cysteamine can be decreased when used in combination with Magnesium hydroxide.,Cysteamine's effectiveness in treating certain genetic disorders is reduced when taken with Magnesium hydroxide.
The therapeutic efficacy of Cysteamine can be decreased when used in combination with Calcium carbonate.,Cysteamine's effectiveness in treating certain genetic disorders is reduced when taken with Calcium carbonate.
Profenamine may increase the ulcerogenic activities of Potassium chloride.,Profenamine may increase the risk of ulcers when taken with Potassium chloride.
Biperiden may increase the ulcerogenic activities of Potassium chloride.,Biperiden may increase the risk of ulcers when taken with Potassium chloride.
Cyclopentolate may increase the ulcerogenic activities of Potassium chloride.,Cyclopentolate may increase the risk of ulcers when taken with Potassium chloride.
Trospium may increase the ulcerogenic activities of Potassium chloride.,Trospium may increase the risk of ulcers when taken with Potassium chloride.
Atropine may increase the ulcerogenic activities of Potassium chloride.,Atropine may increase the risk of ulcers when taken with Potassium chloride.
Metixene may increase the ulcerogenic activities of Potassium chloride.,Metixene may increase the risk of ulcers when taken with Potassium chloride.
Propiverine may increase the ulcerogenic activities of Potassium chloride.,Propiverine may increase the risk of ulcers when taken with Potassium chloride.
Butylscopolamine may increase the ulcerogenic activities of Potassium chloride.,Butylscopolamine may increase the risk of ulcers when taken with Potassium chloride.
Methscopolamine may increase the ulcerogenic activities of Potassium chloride.,Methscopolamine may increase the risk of ulcers when taken with Potassium chloride.
Methscopolamine bromide may increase the ulcerogenic activities of Potassium chloride.,Methscopolamine bromide may increase the risk of ulcers when taken with Potassium chloride.
Ubidecarenone may increase the myopathic rhabdomyolysis activities of Acipimox.,Ubidecarenone may increase the risk of muscle damage (rhabdomyolysis) when taken with Acipimox.
Lovastatin may increase the myopathic rhabdomyolysis activities of Acipimox.,Lovastatin may increase the risk of muscle damage (rhabdomyolysis) when taken with Acipimox.
Pravastatin may increase the myopathic rhabdomyolysis activities of Acipimox.,Pravastatin may increase the risk of muscle damage (rhabdomyolysis) when taken with Acipimox.
Simvastatin may increase the myopathic rhabdomyolysis activities of Acipimox.,Simvastatin may increase the risk of muscle damage (rhabdomyolysis) when taken with Acipimox.
Pitavastatin may increase the myopathic rhabdomyolysis activities of Acipimox.,Pitavastatin may increase the risk of muscle damage (rhabdomyolysis) when taken with Acipimox.
Fluvastatin may increase the myopathic rhabdomyolysis activities of Acipimox.,Fluvastatin may increase the risk of muscle damage (rhabdomyolysis) when taken with Acipimox.
Rosuvastatin may increase the myopathic rhabdomyolysis activities of Acipimox.,Rosuvastatin may increase the risk of muscle damage (rhabdomyolysis) when taken with Acipimox.
Atorvastatin may increase the myopathic rhabdomyolysis activities of Acipimox.,Atorvastatin may increase the risk of muscle damage (rhabdomyolysis) when taken with Acipimox.
Clofibrate may increase the myopathic rhabdomyolysis activities of Acipimox.,Clofibrate may increase the risk of muscle damage (rhabdomyolysis) when taken with Acipimox.
Bezafibrate may increase the myopathic rhabdomyolysis activities of Acipimox.,Bezafibrate may increase the risk of muscle damage (rhabdomyolysis) when taken with Acipimox.
Fenofibrate may increase the myopathic rhabdomyolysis activities of Acipimox.,Fenofibrate may increase the risk of muscle damage (rhabdomyolysis) when taken with Acipimox.
Gemfibrozil may increase the myopathic rhabdomyolysis activities of Acipimox.,Gemfibrozil may increase the risk of muscle damage (rhabdomyolysis) when taken with Acipimox.
Etofibrate may increase the myopathic rhabdomyolysis activities of Acipimox.,Etofibrate may increase the risk of muscle damage (rhabdomyolysis) when taken with Acipimox.
Fenofibric acid may increase the myopathic rhabdomyolysis activities of Acipimox.,Fenofibric acid may increase the risk of muscle damage (rhabdomyolysis) when taken with Acipimox.
The risk or severity of adverse effects can be increased when Ubidecarenone is combined with Daptomycin.,The risk or severity of side effects can be increased when Ubidecarenone is taken with Daptomycin.
The risk or severity of adverse effects can be increased when Lovastatin is combined with Daptomycin.,The risk or severity of side effects can be increased when Lovastatin is taken with Daptomycin.
The risk or severity of adverse effects can be increased when Pravastatin is combined with Daptomycin.,The risk or severity of side effects can be increased when Pravastatin is taken with Daptomycin.
The risk or severity of adverse effects can be increased when Simvastatin is combined with Daptomycin.,The risk or severity of side effects can be increased when Simvastatin is taken with Daptomycin.
Pancuronium may increase the constipating activities of Eluxadoline.,Pancuronium may increase the risk of constipation when taken with Eluxadoline.
Gallamine triethiodide may increase the constipating activities of Eluxadoline.,Gallamine triethiodide may increase the risk of constipation when taken with Eluxadoline.
Tubocurarine may increase the constipating activities of Eluxadoline.,Tubocurarine may increase the risk of constipation when taken with Eluxadoline.
Scopolamine may increase the constipating activities of Eluxadoline.,Scopolamine may increase the risk of constipation when taken with Eluxadoline.
Desloratadine may increase the constipating activities of Eluxadoline.,Desloratadine may increase the risk of constipation when taken with Eluxadoline.
Aclidinium may increase the constipating activities of Eluxadoline.,Aclidinium may increase the risk of constipation when taken with Eluxadoline.
Pirenzepine may increase the constipating activities of Eluxadoline.,Pirenzepine may increase the risk of constipation when taken with Eluxadoline.
Anisotropine methylbromide may increase the constipating activities of Eluxadoline.,Anisotropine methylbromide may increase the risk of constipation when taken with Eluxadoline.
Procyclidine may increase the constipating activities of Eluxadoline.,Procyclidine may increase the risk of constipation when taken with Eluxadoline.
Propantheline may increase the constipating activities of Eluxadoline.,Propantheline may increase the risk of constipation when taken with Eluxadoline.
Oxyphenonium may increase the constipating activities of Eluxadoline.,Oxyphenonium may increase the risk of constipation when taken with Eluxadoline.
Hyoscyamine may increase the constipating activities of Eluxadoline.,Hyoscyamine may increase the risk of constipation when taken with Eluxadoline.
Trihexyphenidyl may increase the constipating activities of Eluxadoline.,Trihexyphenidyl may increase the risk of constipation when taken with Eluxadoline.
Tropicamide may increase the constipating activities of Eluxadoline.,Tropicamide may increase the risk of constipation when taken with Eluxadoline.
Dicyclomine may increase the constipating activities of Eluxadoline.,Dicyclomine may increase the risk of constipation when taken with Eluxadoline.
Profenamine may increase the constipating activities of Eluxadoline.,Profenamine may increase the risk of constipation when taken with Eluxadoline.
Biperiden may increase the constipating activities of Eluxadoline.,Biperiden may increase the risk of constipation when taken with Eluxadoline.
Cyclopentolate may increase the constipating activities of Eluxadoline.,Cyclopentolate may increase the risk of constipation when taken with Eluxadoline.
Trospium may increase the constipating activities of Eluxadoline.,Trospium may increase the risk of constipation when taken with Eluxadoline.
Atropine may increase the constipating activities of Eluxadoline.,Atropine may increase the risk of constipation when taken with Eluxadoline.
Metixene may increase the constipating activities of Eluxadoline.,Metixene may increase the risk of constipation when taken with Eluxadoline.
Propiverine may increase the constipating activities of Eluxadoline.,Propiverine may increase the risk of constipation when taken with Eluxadoline.
Butylscopolamine may increase the constipating activities of Eluxadoline.,Butylscopolamine may increase the risk of constipation when taken with Eluxadoline.
Methscopolamine may increase the constipating activities of Eluxadoline.,Methscopolamine may increase the risk of constipation when taken with Eluxadoline.
Methscopolamine bromide may increase the constipating activities of Eluxadoline.,Methscopolamine bromide may increase the risk of constipation when taken with Eluxadoline.
Quinidine may increase the ulcerogenic activities of Potassium chloride.,Quinidine may increase the risk of ulcers when taken with Potassium chloride.
The serum concentration of Cefdinir can be decreased when it is combined with Iron sucrose.,The serum concentration of Cefdinir can be lower when taken with Iron sucrose.
The serum concentration of Cefdinir can be decreased when it is combined with Iron.,The serum concentration of Cefdinir can be lower when taken with Iron.
The serum concentration of Cefdinir can be decreased when it is combined with Ferric pyrophosphate.,The serum concentration of Cefdinir can be lower when taken with Ferric pyrophosphate.
Quinidine may increase the constipating activities of Eluxadoline.,Quinidine may increase the risk of constipation when taken with Eluxadoline.
The serum concentration of Eluxadoline can be increased when it is combined with Rosuvastatin.,The serum concentration of Eluxadoline can be higher when taken with Rosuvastatin.
Methadone may increase the constipating activities of Eluxadoline.,Methadone may increase the risk of constipation when taken with Eluxadoline.
Trimethaphan may increase the constipating activities of Eluxadoline.,Trimethaphan may increase the risk of constipation when taken with Eluxadoline.
Buprenorphine may increase the constipating activities of Eluxadoline.,Buprenorphine may increase the risk of constipation when taken with Eluxadoline.
Butorphanol may increase the constipating activities of Eluxadoline.,Butorphanol may increase the risk of constipation when taken with Eluxadoline.
Hydrocodone may increase the constipating activities of Eluxadoline.,Hydrocodone may increase the risk of constipation when taken with Eluxadoline.
Ethylmorphine may increase the constipating activities of Eluxadoline.,Ethylmorphine may increase the risk of constipation when taken with Eluxadoline.
Tapentadol may increase the constipating activities of Eluxadoline.,Tapentadol may increase the risk of constipation when taken with Eluxadoline.
Hydromorphone may increase the constipating activities of Eluxadoline.,Hydromorphone may increase the risk of constipation when taken with Eluxadoline.
Dextropropoxyphene may increase the constipating activities of Eluxadoline.,Dextropropoxyphene may increase the risk of constipation when taken with Eluxadoline.
Levorphanol may increase the constipating activities of Eluxadoline.,Levorphanol may increase the risk of constipation when taken with Eluxadoline.
Fentanyl may increase the constipating activities of Eluxadoline.,Fentanyl may increase the risk of constipation when taken with Eluxadoline.
Meperidine may increase the constipating activities of Eluxadoline.,Meperidine may increase the risk of constipation when taken with Eluxadoline.
Dezocine may increase the constipating activities of Eluxadoline.,Dezocine may increase the risk of constipation when taken with Eluxadoline.
Methadyl acetate may increase the constipating activities of Eluxadoline.,Methadyl acetate may increase the risk of constipation when taken with Eluxadoline.
Alfentanil may increase the constipating activities of Eluxadoline.,Alfentanil may increase the risk of constipation when taken with Eluxadoline.
Diamorphine may increase the constipating activities of Eluxadoline.,Diamorphine may increase the risk of constipation when taken with Eluxadoline.
Sufentanil may increase the constipating activities of Eluxadoline.,Sufentanil may increase the risk of constipation when taken with Eluxadoline.
Normethadone may increase the constipating activities of Eluxadoline.,Normethadone may increase the risk of constipation when taken with Eluxadoline.
Nalbuphine may increase the constipating activities of Eluxadoline.,Nalbuphine may increase the risk of constipation when taken with Eluxadoline.
Remifentanil may increase the constipating activities of Eluxadoline.,Remifentanil may increase the risk of constipation when taken with Eluxadoline.
Oxycodone may increase the constipating activities of Eluxadoline.,Oxycodone may increase the risk of constipation when taken with Eluxadoline.
Tramadol may increase the constipating activities of Eluxadoline.,Tramadol may increase the risk of constipation when taken with Eluxadoline.
Diphenoxylate may increase the constipating activities of Eluxadoline.,Diphenoxylate may increase the risk of constipation when taken with Eluxadoline.
Oxymorphone may increase the constipating activities of Eluxadoline.,Oxymorphone may increase the risk of constipation when taken with Eluxadoline.
Codeine may increase the constipating activities of Eluxadoline.,Codeine may increase the risk of constipation when taken with Eluxadoline.
Pentazocine may increase the constipating activities of Eluxadoline.,Pentazocine may increase the risk of constipation when taken with Eluxadoline.
Morphine may increase the constipating activities of Eluxadoline.,Morphine may increase the risk of constipation when taken with Eluxadoline.
Dihydrocodeine may increase the constipating activities of Eluxadoline.,Dihydrocodeine may increase the risk of constipation when taken with Eluxadoline.
Mecamylamine may increase the constipating activities of Eluxadoline.,Mecamylamine may increase the risk of constipation when taken with Eluxadoline.
Atracurium besylate may increase the constipating activities of Eluxadoline.,Atracurium besylate may increase the risk of constipation when taken with Eluxadoline.
Orphenadrine may increase the constipating activities of Eluxadoline.,Orphenadrine may increase the risk of constipation when taken with Eluxadoline.
The risk or severity of adverse effects can be increased when Ethanol is combined with Eluxadoline.,The risk of side effects can be increased when Ethanol is taken with Eluxadoline.
Umeclidinium may increase the constipating activities of Eluxadoline.,Umeclidinium may increase the risk of constipation when taken with Eluxadoline.
Tiotropium may increase the constipating activities of Eluxadoline.,Tiotropium may increase the risk of constipation when taken with Eluxadoline.
Glycopyrronium may increase the constipating activities of Eluxadoline.,Glycopyrronium may increase the risk of constipation when taken with Eluxadoline.
Ipratropium may increase the constipating activities of Eluxadoline.,Ipratropium may increase the risk of constipation when taken with Eluxadoline.
Benzatropine may increase the constipating activities of Eluxadoline.,Benzatropine may increase the risk of constipation when taken with Eluxadoline.
Alosetron may increase the constipating activities of Eluxadoline.,Alosetron may increase the risk of constipation when taken with Eluxadoline.
Methantheline may increase the constipating activities of Eluxadoline.,Methantheline may increase the risk of constipation when taken with Eluxadoline.
Tolterodine may increase the constipating activities of Eluxadoline.,Tolterodine may increase the risk of constipation when taken with Eluxadoline.
Darifenacin may increase the constipating activities of Eluxadoline.,Darifenacin may increase the risk of constipation when taken with Eluxadoline.
Oxybutynin may increase the constipating activities of Eluxadoline.,Oxybutynin may increase the risk of constipation when taken with Eluxadoline.
Fesoterodine may increase the constipating activities of Eluxadoline.,Fesoterodine may increase the risk of constipation when taken with Eluxadoline.
The risk or severity of adverse effects can be increased when Tramadol is combined with Potassium cation.,The risk of side effects can be increased when Tramadol is taken with Potassium cation.
The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Potassium cation.,The risk of side effects can be increased when Diphenoxylate is taken with Potassium cation.
The risk or severity of adverse effects can be increased when Oxymorphone is combined with Potassium cation.,The risk of side effects can be increased when Oxymorphone is taken with Potassium cation.
The risk or severity of adverse effects can be increased when Codeine is combined with Potassium cation.,The risk of side effects can be increased when Codeine is taken with Potassium cation.
The risk or severity of adverse effects can be increased when Pentazocine is combined with Potassium cation.,The risk of side effects can be increased when Pentazocine is taken with Potassium cation.
The risk or severity of adverse effects can be increased when Morphine is combined with Potassium cation.,The risk of side effects can be increased when Morphine is taken with Potassium cation.
The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Potassium cation.,The risk of side effects can be increased when Dihydrocodeine is taken with Potassium cation.
The risk or severity of hypotension can be increased when Candesartan cilexetil is combined with Potassium cation.,The risk of low blood pressure (hypotension) can be increased when Candesartan cilexetil is taken with Potassium cation.
"Sodium phosphate, monobasic may increase the nephrotoxic activities of Potassium cation.","Sodium phosphate, monobasic may increase the risk of kidney damage (nephrotoxicity) when taken with Potassium cation."
The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Phenylalanine.,The risk of side effects can be increased when Pimecrolimus is taken with Phenylalanine.
The risk or severity of adverse effects can be increased when Tacrolimus is combined with Phenylalanine.,The risk of side effects can be increased when Tacrolimus is taken with Phenylalanine.
Roflumilast may increase the immunosuppressive activities of Phenylalanine.,Roflumilast may increase the immune-suppressing effect of Phenylalanine.
The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Stepronin.,The risk of side effects can be increased when Pimecrolimus is taken with Stepronin.
The risk or severity of adverse effects can be increased when Tacrolimus is combined with Stepronin.,The risk of side effects can be increased when Tacrolimus is taken with Stepronin.
Roflumilast may increase the immunosuppressive activities of Stepronin.,Roflumilast may increase the immune-suppressing effect of Stepronin.
The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Benznidazole.,The risk of side effects can be increased when Pimecrolimus is taken with Benznidazole.
The risk or severity of adverse effects can be increased when Tacrolimus is combined with Benznidazole.,The risk of side effects can be increased when Tacrolimus is taken with Benznidazole.
Roflumilast may increase the immunosuppressive activities of Benznidazole.,Roflumilast may increase the immune-suppressing effect of Benznidazole.
The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Dimethyl fumarate.,The risk of side effects can be increased when Pimecrolimus is taken with Dimethyl fumarate.
The risk or severity of adverse effects can be increased when Tacrolimus is combined with Dimethyl fumarate.,The risk of side effects can be increased when Tacrolimus is taken with Dimethyl fumarate.
Roflumilast may increase the immunosuppressive activities of Dimethyl fumarate.,Roflumilast may increase the immune-suppressing effect of Dimethyl fumarate.
Glyburide may increase the hypoglycemic activities of Aminosalicylic acid.,Glyburide may increase the blood sugar-lowering effect of Aminosalicylic acid.
Bromocriptine may increase the hypoglycemic activities of Aminosalicylic acid.,Bromocriptine may increase the blood sugar-lowering effect of Aminosalicylic acid.
Quinapril may decrease the antihypertensive activities of Aminosalicylic acid.,Quinapril may reduce the blood pressure-lowering effect of Aminosalicylic acid.
Trolamine salicylate may increase the anticoagulant activities of Aminosalicylic acid.,Trolamine salicylate may increase the blood-thinning effect of Aminosalicylic acid.
The risk or severity of adverse effects can be increased when Cilostazol is combined with Aminosalicylic acid.,The risk of side effects can be increased when Cilostazol is taken with Aminosalicylic acid.
Methyl salicylate may increase the anticoagulant activities of Aminosalicylic acid.,Methyl salicylate may increase the blood-thinning effect of Aminosalicylic acid.
The risk or severity of adverse effects can be increased when Iloprost is combined with Aminosalicylic acid.,The risk of side effects can be increased when Iloprost is taken with Aminosalicylic acid.
The risk or severity of adverse effects can be increased when Sevoflurane is combined with Aminosalicylic acid.,The risk of side effects can be increased when Sevoflurane is taken with Aminosalicylic acid.
The risk or severity of adverse effects can be increased when Pentoxifylline is combined with Aminosalicylic acid.,The risk of side effects can be increased when Pentoxifylline is taken with Aminosalicylic acid.
Ramipril may decrease the antihypertensive activities of Aminosalicylic acid.,Ramipril may reduce the blood pressure-lowering effect of Aminosalicylic acid.
The risk or severity of adverse effects can be increased when Epoprostenol is combined with Aminosalicylic acid.,The risk of side effects can be increased when Epoprostenol is taken with Aminosalicylic acid.
Moexipril may decrease the antihypertensive activities of Aminosalicylic acid.,Moexipril may reduce the blood pressure-lowering effect of Aminosalicylic acid.
Lisinopril may decrease the antihypertensive activities of Aminosalicylic acid.,Lisinopril may reduce the blood pressure-lowering effect of Aminosalicylic acid.
Enalapril may decrease the antihypertensive activities of Aminosalicylic acid.,Enalapril may reduce the blood pressure-lowering effect of Aminosalicylic acid.
Fosinopril may decrease the antihypertensive activities of Aminosalicylic acid.,Fosinopril may reduce the blood pressure-lowering effect of Aminosalicylic acid.
Trandolapril may decrease the antihypertensive activities of Aminosalicylic acid.,Trandolapril may reduce the blood pressure-lowering effect of Aminosalicylic acid.
Perindopril may decrease the antihypertensive activities of Aminosalicylic acid.,Perindopril may reduce the blood pressure-lowering effect of Aminosalicylic acid.
Benazepril may decrease the antihypertensive activities of Aminosalicylic acid.,Benazepril may reduce the blood pressure-lowering effect of Aminosalicylic acid.
Apixaban may increase the anticoagulant activities of Aminosalicylic acid.,Apixaban may increase the blood-thinning effect of Aminosalicylic acid.
Rivaroxaban may increase the anticoagulant activities of Aminosalicylic acid.,Rivaroxaban may increase the blood-thinning effect of Aminosalicylic acid.
The risk or severity of adverse effects can be increased when Argatroban is combined with Aminosalicylic acid.,The risk of side effects can be increased when Argatroban is taken with Aminosalicylic acid.
Bivalirudin may increase the anticoagulant activities of Aminosalicylic acid.,Bivalirudin may increase the blood-thinning effect of Aminosalicylic acid.
Dabigatran etexilate may increase the anticoagulant activities of Aminosalicylic acid.,Dabigatran etexilate may increase the blood-thinning effect of Aminosalicylic acid.
Edetic acid may increase the anticoagulant activities of Aminosalicylic acid.,Edetic acid may increase the blood-thinning effect of Aminosalicylic acid.
Fondaparinux may increase the anticoagulant activities of Aminosalicylic acid.,Fondaparinux may increase the blood-thinning effect of Aminosalicylic acid.
Pentaerythritol tetranitrate may increase the anticoagulant activities of Aminosalicylic acid.,Pentaerythritol tetranitrate may increase the blood-thinning effect of Aminosalicylic acid.
Citric acid may increase the anticoagulant activities of Aminosalicylic acid.,Citric acid may increase the blood-thinning effect of Aminosalicylic acid.
Pentosan polysulfate may increase the anticoagulant activities of Aminosalicylic acid.,Pentosan polysulfate may increase the blood-thinning effect of Aminosalicylic acid.
Protocatechualdehyde may increase the anticoagulant activities of Aminosalicylic acid.,Protocatechualdehyde may increase the blood-thinning effect of Aminosalicylic acid.
Cilazapril may decrease the antihypertensive activities of Aminosalicylic acid.,Cilazapril may reduce the blood pressure-lowering effect of Aminosalicylic acid.
Enalaprilat may decrease the antihypertensive activities of Aminosalicylic acid.,Enalaprilat may reduce the blood pressure-lowering effect of Aminosalicylic acid.
Captopril may decrease the antihypertensive activities of Aminosalicylic acid.,Captopril may reduce the blood pressure-lowering effect of Aminosalicylic acid.
Edetic acid may increase the anticoagulant activities of Trolamine salicylate.,Edetic acid may increase the blood-thinning effect of Trolamine salicylate.
Fondaparinux may increase the anticoagulant activities of Trolamine salicylate.,Fondaparinux may increase the blood-thinning effect of Trolamine salicylate.
Pentaerythritol tetranitrate may increase the anticoagulant activities of Trolamine salicylate.,Pentaerythritol tetranitrate may increase the blood-thinning effect of Trolamine salicylate.
Citric acid may increase the anticoagulant activities of Trolamine salicylate.,Citric acid may increase the blood-thinning effect of Trolamine salicylate.
Pentosan polysulfate may increase the anticoagulant activities of Trolamine salicylate.,Pentosan polysulfate may increase the blood-thinning effect of Trolamine salicylate.
Protocatechualdehyde may increase the anticoagulant activities of Trolamine salicylate.,Protocatechualdehyde may increase the blood-thinning effect of Trolamine salicylate.
Cilazapril may decrease the antihypertensive activities of Trolamine salicylate.,Cilazapril may reduce the blood pressure-lowering effect of Trolamine salicylate.
Enalaprilat may decrease the antihypertensive activities of Trolamine salicylate.,Enalaprilat may reduce the blood pressure-lowering effect of Trolamine salicylate.
Captopril may decrease the antihypertensive activities of Trolamine salicylate.,Captopril may reduce the blood pressure-lowering effect of Trolamine salicylate.
Rescinnamine may decrease the antihypertensive activities of Trolamine salicylate.,Rescinnamine may reduce the blood pressure-lowering effect of Trolamine salicylate.
Spirapril may decrease the antihypertensive activities of Trolamine salicylate.,Spirapril may reduce the blood pressure-lowering effect of Trolamine salicylate.
The risk or severity of adverse effects can be increased when Treprostinil is combined with Trolamine salicylate.,The risk of side effects can be increased when Treprostinil is taken with Trolamine salicylate.
The risk or severity of adverse effects can be increased when Dipyridamole is combined with Trolamine salicylate.,The risk of side effects can be increased when Dipyridamole is taken with Trolamine salicylate.
The risk or severity of adverse effects can be increased when Cangrelor is combined with Trolamine salicylate.,The risk of side effects can be increased when Cangrelor is taken with Trolamine salicylate.
The risk or severity of adverse effects can be increased when Ticlopidine is combined with Trolamine salicylate.,The risk of side effects can be increased when Ticlopidine is taken with Trolamine salicylate.
The risk or severity of adverse effects can be increased when Tirofiban is combined with Trolamine salicylate.,The risk of side effects can be increased when Tirofiban is taken with Trolamine salicylate.
The risk or severity of adverse effects can be increased when Triflusal is combined with Trolamine salicylate.,The risk of side effects can be increased when Triflusal is taken with Trolamine salicylate.
The risk or severity of adverse effects can be increased when Ticagrelor is combined with Trolamine salicylate.,The risk of side effects can be increased when Ticagrelor is taken with Trolamine salicylate.
The risk or severity of adverse effects can be increased when Vorapaxar is combined with Trolamine salicylate.,The risk of side effects can be increased when Vorapaxar is taken with Trolamine salicylate.
The risk or severity of adverse effects can be increased when Prasugrel is combined with Trolamine salicylate.,The risk of side effects can be increased when Prasugrel is taken with Trolamine salicylate.
The risk or severity of adverse effects can be increased when Icosapent ethyl is combined with Trolamine salicylate.,The risk of side effects can be increased when Icosapent ethyl is taken with Trolamine salicylate.
The risk or severity of adverse effects can be increased when Trapidil is combined with Trolamine salicylate.,The risk of side effects can be increased when Trapidil is taken with Trolamine salicylate.
The risk or severity of adverse effects can be increased when Ifenprodil is combined with Trolamine salicylate.,The risk of side effects can be increased when Ifenprodil is taken with Trolamine salicylate.
The risk or severity of adverse effects can be increased when Clopidogrel is combined with Trolamine salicylate.,The risk of side effects can be increased when Clopidogrel is taken with Trolamine salicylate.
The serum concentration of Trolamine salicylate can be increased when it is combined with Valproic acid.,The serum concentration of Trolamine salicylate can be increased when it is combined with Valproic acid.
The risk or severity of adverse effects can be increased when Epinastine is combined with Trolamine salicylate.,The risk of side effects can be increased when Epinastine is taken with Trolamine salicylate.
The risk or severity of adverse effects can be increased when Milrinone is combined with Trolamine salicylate.,The risk of side effects can be increased when Milrinone is taken with Trolamine salicylate.
The risk or severity of adverse effects can be increased when Alprostadil is combined with Trolamine salicylate.,The risk of side effects can be increased when Alprostadil is taken with Trolamine salicylate.
Edoxaban may increase the anticoagulant activities of Aminosalicylic acid.,Edoxaban may increase the blood-thinning effect of Aminosalicylic acid.
The risk or severity of adverse effects can be increased when Anagrelide is combined with Aminosalicylic acid.,The risk of side effects can be increased when Anagrelide is taken with Aminosalicylic acid.
Acarbose may increase the hypoglycemic activities of Aminosalicylic acid.,Acarbose may increase the blood sugar-lowering effect of Aminosalicylic acid.
Sunitinib may increase the hypoglycemic activities of Aminosalicylic acid.,Sunitinib may increase the blood sugar-lowering effect of Aminosalicylic acid.
The serum concentration of Aminosalicylic acid can be increased when it is combined with Pralatrexate.,The serum concentration of Aminosalicylic acid can be increased when it is combined with Pralatrexate.
The serum concentration of Aminosalicylic acid can be increased when it is combined with Methotrexate.,The serum concentration of Aminosalicylic acid can be increased when it is combined with Methotrexate.
Mesalazine may increase the anticoagulant activities of Aminosalicylic acid.,Mesalazine may increase the blood-thinning effect of Aminosalicylic acid.
Balsalazide may increase the anticoagulant activities of Aminosalicylic acid.,Balsalazide may increase the blood-thinning effect of Aminosalicylic acid.
Olsalazine may increase the anticoagulant activities of Aminosalicylic acid.,Olsalazine may increase the blood-thinning effect of Aminosalicylic acid.
Disopyramide may increase the hypoglycemic activities of Trolamine salicylate.,Disopyramide may increase the blood sugar-lowering effect of Trolamine salicylate.
Tolbutamide may increase the hypoglycemic activities of Trolamine salicylate.,Tolbutamide may increase the blood sugar-lowering effect of Trolamine salicylate.
Miglitol may increase the hypoglycemic activities of Trolamine salicylate.,Miglitol may increase the blood sugar-lowering effect of Trolamine salicylate.
Sulfamethoxazole may increase the hypoglycemic activities of Trolamine salicylate.,Sulfamethoxazole may increase the blood sugar-lowering effect of Trolamine salicylate.
Sitagliptin may increase the hypoglycemic activities of Trolamine salicylate.,Sitagliptin may increase the blood sugar-lowering effect of Trolamine salicylate.
Dapagliflozin may increase the hypoglycemic activities of Trolamine salicylate.,Dapagliflozin may increase the blood sugar-lowering effect of Trolamine salicylate.
Alogliptin may increase the hypoglycemic activities of Trolamine salicylate.,Alogliptin may increase the blood sugar-lowering effect of Trolamine salicylate.
Saxagliptin may increase the hypoglycemic activities of Trolamine salicylate.,Saxagliptin may increase the blood sugar-lowering effect of Trolamine salicylate.
Sulfadiazine may increase the hypoglycemic activities of Trolamine salicylate.,Sulfadiazine may increase the blood sugar-lowering effect of Trolamine salicylate.
Nateglinide may increase the hypoglycemic activities of Trolamine salicylate.,Nateglinide may increase the blood sugar-lowering effect of Trolamine salicylate.
Gliclazide may increase the hypoglycemic activities of Trolamine salicylate.,Gliclazide may increase the blood sugar-lowering effect of Trolamine salicylate.
Pioglitazone may increase the hypoglycemic activities of Trolamine salicylate.,Pioglitazone may increase the blood sugar-lowering effect of Trolamine salicylate.
Mifepristone may increase the hypoglycemic activities of Trolamine salicylate.,Mifepristone may increase the blood sugar-lowering effect of Trolamine salicylate.
Quinine may increase the hypoglycemic activities of Trolamine salicylate.,Quinine may increase the blood sugar-lowering effect of Trolamine salicylate.
Metformin may increase the hypoglycemic activities of Trolamine salicylate.,Metformin may increase the blood sugar-lowering effect of Trolamine salicylate.
Tolazamide may increase the hypoglycemic activities of Trolamine salicylate.,Tolazamide may increase the blood sugar-lowering effect of Trolamine salicylate.
Glimepiride may increase the hypoglycemic activities of Trolamine salicylate.,Glimepiride may increase the blood sugar-lowering effect of Trolamine salicylate.
